feature,importance
D_96_min_12,0.0005991215
R_22_mean_12,0.0005985516
D_72_max_6,0.0005975711
B_12_min_6,0.00059735694
S_8_min_6,0.0005970423
B_9_max_6,0.0005966078
S_18_latest,0.0005955515
S_12_min_6,0.0005953035
S_19_min_6,0.0005949801
R_15_latest,0.0005945803
D_50_min_6,0.0005944214
D_128_latest,0.0005940114
D_145_min_12,0.00059353164
D_55_latest,0.00059310434
D_47_min_12,0.00059282186
B_22_min_6,0.00059152825
S_6_min_6,0.0005911238
B_41_mean_6,0.0005909017
R_7_mean_12,0.0005905711
R_24_min_6,0.00058988907
R_12_latest,0.00058954203
D_42_min_6,0.0005891769
S_25_max_12,0.00058888743
B_25_mean_12,0.0005885236
R_15_max_6,0.0005866591
B_36_max_6,0.00058654713
R_1_min_12,0.0005864708
D_58_latest,0.0005859662
S_12_max_6,0.0005859583
D_68_5.0_RespRate_6,0.0005855863
D_84_max_12,0.00058533263
B_15_mean_12,0.0005853098
S_27_min_6,0.00058453437
R_27_max_6,0.0005838665
R_4_max_6,0.0005826506
S_8_min_12,0.0005825953
D_145_min_6,0.00058252865
R_15_min_12,0.00058198714
R_7_max_12,0.0005816806
D_56_min_12,0.00058167276
D_131_mean_6,0.00058144546
S_6_latest,0.0005814296
D_91_min_12,0.0005810492
D_54_mean_6,0.0005796347
S_12_mean_6,0.00057804905
D_60_mean_12,0.0005777111
D_109_mean_6,0.0005775091
D_69_mean_6,0.0005774205
D_61_mean_12,0.0005773638
B_22_mean_12,0.00057707814
B_15_max_12,0.00057695893
D_103_mean_6,0.0005768077
R_4_max_12,0.00057671615
D_91_mean_12,0.00057667535
D_93_min_12,0.000576438
S_9_latest,0.0005762578
D_80_latest,0.0005760891
D_55_max_6,0.0005760517
D_62_max_12,0.0005757314
B_21_min_12,0.0005746193
R_11_latest,0.000572986
D_65_max_12,0.0005700021
D_112_min_12,0.00056950696
B_41_latest,0.0005694531
R_12_max_6,0.00056913914
B_12_mean_6,0.00056885637
D_128_max_12,0.00056866696
D_113_mean_6,0.0005684821
D_103_max_6,0.00056817883
D_141_max_6,0.000568149
D_71_latest,0.0005680945
D_70_max_12,0.0005665591
S_11_max_6,0.0005663785
D_81_max_6,0.0005663005
D_135_min_12,0.00056610256
R_27_latest,0.00056600536
R_20_min_6,0.00056596776
S_13_min_6,0.0005641881
R_15_mean_6,0.00056394737
D_84_min_12,0.0005637926
D_138_min_6,0.0005637411
B_25_mean_6,0.0005633501
D_61_latest,0.00056320126
S_13_max_6,0.00056236994
B_38_1.0_RespRate_12,0.00056104985
D_125_max_6,0.00056081446
B_16_mean_6,0.0005600175
P_2_mean_12,0.00055956247
D_117_4.0_RespRate_6,0.00055909704
D_51_min_12,0.00055836793
D_121_mean_6,0.0005578751
S_12_min_12,0.00055769493
B_14_min_6,0.0005572632
D_102_min_12,0.0005569308
D_45_mean_12,0.00055623753
D_83_latest,0.00055585476
R_10_mean_6,0.00055566046
R_27_min_12,0.0005553377
B_25_latest,0.0005521598
D_145_latest,0.00055214984
B_33_mean_6,0.0005516265
D_118_max_12,0.0005514881
B_25_max_12,0.00054991513
S_9_mean_6,0.000547857
D_129_max_12,0.0005478021
D_119_mean_12,0.0005471275
D_109_latest,0.0005463284
D_46_min_6,0.0005461256
D_105_min_6,0.00054587895
S_17_mean_12,0.00054580416
R_20_mean_6,0.0005457964
R_17_mean_6,0.0005455396
D_127_max_6,0.0005448583
D_113_max_6,0.0005446563
D_107_min_6,0.0005442182
B_12_mean_12,0.0005440438
R_2_min_6,0.0005434749
D_46_max_12,0.0005434247
R_23_min_6,0.0005425303
S_13_min_12,0.00054033106
S_16_mean_6,0.0005400947
D_47_min_6,0.00053964695
B_17_min_6,0.0005394364
D_65_min_12,0.00053886126
D_64_U_RespRate_6,0.0005387346
S_19_mean_12,0.0005383408
B_40_max_6,0.0005377049
D_128_max_6,0.0005374111
S_22_min_12,0.00053740706
B_41_min_6,0.000537189
D_93_mean_6,0.00053714344
B_13_latest,0.00053704315
S_18_mean_6,0.00053690095
D_120_1.0_RespRate_12,0.0005367176
R_6_min_12,0.0005365816
R_28_max_12,0.00053655
D_140_min_6,0.0005350418
D_39_min_12,0.00053496746
R_12_mean_6,0.00053445646
B_27_mean_12,0.0005338398
D_103_latest,0.00053379295
B_4_min_12,0.0005332627
D_74_mean_6,0.00053292105
R_8_mean_12,0.00053266814
R_22_max_6,0.0005324856
D_62_min_6,0.0005323988
D_94_max_6,0.0005319712
D_72_latest,0.00053195335
B_2_min_6,0.0005318761
D_52_latest,0.00053174334
R_12_min_6,0.0005311683
B_26_max_12,0.00053093745
B_33_max_12,0.0005308877
D_79_max_12,0.00053087453
R_21_latest,0.0005307248
D_112_mean_6,0.00053045736
